Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integration,15897,0,860.0,885.6273558713631,128.02029099839274,2272.9300479986705,208.0,88.28140577561481,0.0,860,960,1000,1100,1200,1300,1500,1600,1900,2200,2300
,Aggregated,15897,0,860.0,885.6273558713631,128.02029099839274,2272.9300479986705,208.0,88.28140577561481,0.0,860,960,1000,1100,1200,1300,1500,1600,1900,2200,2300
