Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integration,9929,99,1200.0,1413.7459249668113,34.238759995787404,9295.635871007107,207.11108872998287,55.16245003262738,0.5500133501087834,1200,1700,2000,2100,2100,2100,2100,2200,4900,9300,9300
,Aggregated,9929,99,1200.0,1413.7459249668113,34.238759995787404,9295.635871007107,207.11108872998287,55.16245003262738,0.5500133501087834,1200,1700,2000,2100,2100,2100,2100,2200,4900,9300,9300
